keyword,risk_score,personality_distribution
infection,0,"trusting (26%), confused (19%), distracted (12%)"
unusable,0,"aggressive (40%), anxious (20%), distracted (20%)"
diagnostic,0,"greedy (28%), polite (21%), trusting (18%)"
removing,0,"anxious (36%), confused (25%), distracted (11%)"
goal,0,"aggressive (80%), confused (20%)"
antivirus,0,"greedy (63%), anxious (13%), trusting (7%)"
scan,0,"trusting (31%), anxious (22%), greedy (10%)"
devices,0,"aggressive (27%), skeptical (21%), anxious (15%)"
causes,0,"confused (31%), aggressive (25%), skeptical (25%)"
operating,0,"trusting (19%), confused (16%), anxious (15%)"
press,0,"confused (61%), distracted (15%), trusting (12%)"
keyboard,0,"confused (67%), anxious (17%), aggressive (8%)"
eventvwr,0,"confused (60%), distracted (23%), trusting (12%)"
dialog,0,"confused (40%), anxious (20%), distracted (20%)"
box,0,"confused (61%), anxious (11%), distracted (11%)"
spreading,0,"skeptical (27%), distracted (20%), anxious (18%)"
performance,0,"greedy (58%), aggressive (17%), distracted (12%)"
addressed,0,"confused (15%), aggressive (13%), distracted (13%)"
until,0,"skeptical (29%), aggressive (19%), confused (14%)"
button,0,"confused (58%), trusting (16%), anxious (12%)"
pop,0,"trusting (43%), confused (30%), aggressive (13%)"
ups,0,"trusting (67%), aggressive (20%), distracted (7%)"
disconnect,0,"aggressive (43%), anxious (29%), confused (14%)"
infections,0,"trusting (23%), anxious (20%), confused (14%)"
passwords,0,"anxious (35%), confused (32%), aggressive (9%)"
providers,0,"polite (67%), aggressive (33%)"
secured,0,"greedy (33%), aggressive (17%), confused (17%)"
attacks,0,"anxious (33%), aggressive (20%), polite (20%)"
outbreak,0,"polite (44%), confused (22%), skeptical (22%)"
irreparable,0,"skeptical (39%), anxious (22%), polite (17%)"
harm,0,"confused (77%), aggressive (9%), anxious (9%)"
cleaned,0,"skeptical (60%), aggressive (20%), confused (20%)"
ignoring,0,"aggressive (50%), anxious (17%), polite (17%)"
greater,0,"aggressive (20%), anxious (20%), confused (20%)"
viruses,0,"anxious (40%), greedy (40%), aggressive (10%)"
shows,0,"confused (25%), skeptical (20%), greedy (16%)"
overpaid,0,"aggressive (33%), confused (17%), greedy (12%)"
pretty,0,"greedy (25%), trusting (25%), skeptical (19%)"
files,0,"anxious (32%), confused (22%), distracted (12%)"
diagnose,0,"confused (33%), distracted (26%), anxious (15%)"
technicians,0,"anxious (42%), greedy (29%), confused (17%)"
certification,0,"anxious (50%), polite (33%), aggressive (17%)"
techshieldsolutions,0,"confused (21%), skeptical (21%), anxious (17%)"
troubleshooting,0,"anxious (60%), aggressive (20%), distracted (20%)"
installing,0,"anxious (31%), distracted (23%), trusting (23%)"
compromising,0,"distracted (31%), anxious (25%), aggressive (12%)"
catastrophic,0,"polite (38%), anxious (25%), distracted (25%)"
cybershield,0,"anxious (60%), polite (20%), trusting (20%)"
quickfix,0,"distracted (57%), anxious (43%)"
crash,0,"anxious (53%), confused (24%), distracted (6%)"
downloading,0,"trusting (36%), anxious (24%), distracted (20%)"
downloaded,0,"trusting (53%), anxious (19%), distracted (15%)"
repairs,0,"anxious (60%), confused (40%)"
allowing,0,"polite (69%), confused (12%), trusting (12%)"
clean,0,"anxious (43%), trusting (29%), confused (21%)"
installation,0,"trusting (50%), anxious (31%), confused (6%)"
dell,0,"trusting (30%), anxious (23%), greedy (20%)"
rapidly,0,"anxious (33%), polite (33%), confused (11%)"
photos,0,"confused (60%), anxious (40%)"
install,0,"trusting (40%), distracted (21%), confused (17%)"
spreads,0,"anxious (29%), trusting (29%), confused (14%)"
tools,0,"anxious (59%), distracted (18%), polite (14%)"
sophisticated,0,"anxious (70%), trusting (20%), distracted (10%)"
crashing,0,"greedy (36%), anxious (18%), polite (18%)"
ticket,0,"trusting (50%), anxious (33%), greedy (17%)"
techcare,0,"distracted (25%), trusting (25%), anxious (16%)"
indicate,0,"aggressive (33%), anxious (17%), confused (17%)"
norton,0,"anxious (30%), greedy (30%), distracted (20%)"
mouse,0,"greedy (67%), anxious (22%), confused (11%)"
browser,0,"anxious (29%), trusting (29%), confused (24%)"
assess,0,"anxious (29%), confused (14%), distracted (14%)"
techguardsolutions,0,"trusting (32%), anxious (18%), confused (18%)"
attack,0,"anxious (50%), polite (25%), distracted (12%)"
fixit,0,"trusting (80%), anxious (20%)"
prompts,0,"confused (29%), distracted (25%), anxious (21%)"
transmitting,0,"anxious (40%), greedy (40%), skeptical (20%)"
pictures,0,"confused (91%), anxious (9%)"
anti,0,"trusting (57%), anxious (43%)"
installed,0,"trusting (55%), distracted (18%), confused (12%)"
mcafee,0,anxious (100%)
shield,0,"anxious (50%), confused (25%), skeptical (25%)"
session,0,"anxious (58%), confused (33%), greedy (8%)"
explorer,0,"confused (60%), anxious (40%)"
command,0,"confused (60%), greedy (40%)"
administrator,0,"trusting (43%), distracted (29%), greedy (29%)"
cleanup,0,"greedy (91%), skeptical (9%)"
tune,0,greedy (100%)
xxxxx,0,greedy (100%)
optimization,0,greedy (100%)
invoice,0,greedy (100%)
protech,0,greedy (100%)
beta,0,greedy (100%)
tester,0,greedy (100%)
disclosure,0,greedy (100%)
testing,0,greedy (100%)
wireless,0,greedy (100%)
financing,0,greedy (100%)
manufacturer,0,polite (100%)
desktop,0,"confused (60%), trusting (20%), anxious (10%)"
contacting,0,"polite (42%), aggressive (25%), skeptical (25%)"
affected,0,"aggressive (22%), confused (19%), greedy (19%)"
promptly,0,"greedy (33%), polite (28%), confused (22%)"
unfortunately,0,"confused (32%), skeptical (20%), anxious (12%)"
notifications,0,"aggressive (42%), skeptical (33%), polite (17%)"
aware,0,"polite (51%), skeptical (26%), aggressive (6%)"
hate,0,"anxious (38%), aggressive (25%), confused (12%)"
inc,0,"skeptical (26%), greedy (18%), polite (15%)"
cybersafe,0,"trusting (60%), distracted (40%)"
typing,0,"trusting (57%), confused (29%), distracted (14%)"
yellow,0,"confused (67%), trusting (33%)"
url,0,"distracted (60%), confused (20%), greedy (20%)"
solitaire,0,confused (100%)
logo,0,"confused (60%), greedy (20%), polite (20%)"
keys,0,"greedy (60%), confused (40%)"
menu,0,"confused (76%), distracted (12%), trusting (12%)"
